gene,rho_LumA,rho_LumB,difference
ESR1,-0.4270235408015761,-0.3828521545554548,0.044171386246121325
NAT1,-0.40144295568233496,-0.38444805951548533,0.016994896166849627
FOXA1,-0.32703543067856666,-0.27290914060467547,0.05412629007389119
TMEM45B,-0.23361860688369052,-0.18594974099918662,0.04766886588450389
MIA,-0.222098233466544,-0.07450859421569268,0.14758963925085133
GRB7,-0.2036571529974854,-0.42232330151119485,-0.21866614851370944
GPR160,-0.19605867485333567,-0.21185288019912787,-0.015794205345792206
MAPT,-0.19045259228111824,-0.23372392409166243,-0.043271331810544184
PHGDH,-0.17080796741218146,-0.2869797508454985,-0.11617178343331702
EGFR,-0.1409045832587835,-0.19651740228605674,-0.05561281902727325
ERBB2,-0.13718581167474683,-0.1536582973015397,-0.016472485626792877
CDC6,-0.1317738097148534,-0.16008890220757163,-0.02831509249271824
MDM2,-0.13104897698832585,-0.09608189233601279,0.03496708465231306
MLPH,-0.13033780137612494,-0.2792740485465987,-0.14893624717047377
PGR,-0.12957448644812916,-0.11774933287669276,0.011825153571436403
CXXC5,-0.1203147417536826,-0.1339184040412689,-0.01360366228758629
BLVRA,-0.10220371442433801,-0.11649792371248768,-0.014294209288149673
ACTR3B,-0.09934847729158085,-0.18237367467214635,-0.0830251973805655
PTTG1,-0.08500820733971086,0.002519371548439579,0.08752757888815044
UBE2T,-0.0786483588014202,-0.10156073217420021,-0.022912373372780015
FGFR4,-0.07689274262203687,-0.1058724688556873,-0.02897972623365043
BAG1,-0.0750841645195902,-0.09921086804515034,-0.024126703525560136
CEP55,-0.0748807849700125,-0.038956368773569845,0.03592441619644266
BCL2,-0.07186195080468141,-0.03694840437423595,0.03491354643044546
SFRP1,-0.0662924244611872,-0.0945869747359537,-0.028294550274766503
BIRC5,-0.06582552844987107,-0.0010060362173038202,0.06481949223256725
SLC39A6,-0.06567271084229777,-0.02957974799149506,0.03609296285080271
EXO1,-0.06296353159569638,-0.09354974833805262,-0.03058621674235623
KIF2C,-0.049925007011880324,0.0882662999272229,0.13819130693910323
ORC6,-0.04966845030166322,0.06197932274498052,0.11164777304664374
UBE2C,-0.049028783718801136,-0.03354060533413245,0.015488178384668684
MYBL2,-0.04658160754851172,-0.14246329038058134,-0.09588168283206962
NDC80,-0.04566309913054281,0.023867406567061943,0.06953050569760476
NUF2,-0.04550643571164729,0.03302129562243436,0.07852773133408164
ANLN,-0.04198918056022283,-0.06944717953108723,-0.0274579989708644
CCNE1,-0.04171157423719006,0.016315338841559994,0.058026913078750054
CDH3,-0.04059406986672412,-0.004974052351936677,0.03562001751478744
MMP11,-0.038401905137377255,0.01002060998208093,0.048422515119458186
RRM2,-0.03536746125062884,0.012712444882058308,0.048079906132687145
CENPF,-0.029246387135153686,-0.11619803929962753,-0.08695165216447384
CDC20,-0.02829238818376213,0.07446166359861295,0.10275405178237508
MKI67,-0.018873339134451737,0.003445352968877091,0.02231869210332883
TYMS,-0.0119570423429748,-0.01657890606047633,-0.004621863717501529
MELK,-0.008997508563622275,-0.0729205017338071,-0.06392299317018482
KRT5,-0.0037121604522959767,0.16284039937021655,0.16655255982251252
FOXC1,0.0017980706895852246,-0.06584919853467308,-0.0676472692242583
CCNB1,0.00886544782502371,-0.01591570700800548,-0.024781154833029187
MYC,0.010225636532534858,0.0003274968962712481,-0.00989813963626361
KRT14,0.027702297545570364,0.15332222411308932,0.12561992656751897
