model,feature,modality,gene,cpg,importance,selection_frequency,rank
LASSO_mRNA,RNA: BLVRA,RNA,BLVRA,,0.1578514512611067,0.84,1
LASSO_mRNA,RNA: EXO1,RNA,EXO1,,0.12250191268921379,0.16,2
LASSO_mRNA,RNA: NDC80,RNA,NDC80,,0.11902114047367959,0.2,3
LASSO_mRNA,RNA: MMP11,RNA,MMP11,,0.09765925333511906,0.68,4
LASSO_mRNA,RNA: KRT5,RNA,KRT5,,0.09523677799619684,0.44,5
LASSO_mRNA,RNA: MELK,RNA,MELK,,0.09425862757413934,0.16,6
LASSO_mRNA,RNA: PTTG1,RNA,PTTG1,,0.0879021726349243,0.16,7
LASSO_mRNA,RNA: KIF2C,RNA,KIF2C,,0.0856875657806932,0.2,8
LASSO_mRNA,RNA: MAPT,RNA,MAPT,,0.07863935878216323,0.4,9
LASSO_mRNA,RNA: NUF2,RNA,NUF2,,0.07583302614319261,0.16,10
LASSO_mRNA,RNA: ANLN,RNA,ANLN,,0.07375516335263892,0.2,11
LASSO_mRNA,RNA: RRM2,RNA,RRM2,,0.06363432724241955,0.12,12
LASSO_mRNA,RNA: MYBL2,RNA,MYBL2,,0.0620752539800538,0.12,13
LASSO_mRNA,RNA: KRT14,RNA,KRT14,,0.06190023893937233,0.12,14
LASSO_mRNA,RNA: MLPH,RNA,MLPH,,0.05913092165134888,0.52,15
LASSO_mRNA,RNA: BIRC5,RNA,BIRC5,,0.05649949545050266,0.12,16
LASSO_mRNA,RNA: MIA,RNA,MIA,,0.03666350768788245,0.2,17
LASSO_mRNA,RNA: ORC6,RNA,ORC6,,0.0324219251971756,0.2,18
LASSO_mRNA,RNA: FGFR4,RNA,FGFR4,,0.031033859638273067,0.12,19
LASSO_mRNA,RNA: CDC20,RNA,CDC20,,0.030807345994317732,0.2,20
LASSO_mRNA,RNA: MYC,RNA,MYC,,0.026110513341997363,0.16,21
LASSO_mRNA,RNA: EGFR,RNA,EGFR,,0.025735782137578544,0.2,22
LASSO_mRNA,RNA: ACTR3B,RNA,ACTR3B,,0.02343714679348761,0.2,23
LASSO_mRNA,RNA: CENPF,RNA,CENPF,,0.02208450567115837,0.12,24
LASSO_mRNA,RNA: GPR160,RNA,GPR160,,0.022044663533486997,0.2,25
LASSO_mRNA,RNA: UBE2C,RNA,UBE2C,,0.020941464244006416,0.08,26
LASSO_mRNA,RNA: BCL2,RNA,BCL2,,0.02047556740087048,0.28,27
LASSO_mRNA,RNA: UBE2T,RNA,UBE2T,,0.0194446123426879,0.12,28
LASSO_mRNA,RNA: MDM2,RNA,MDM2,,0.018887136672051535,0.12,29
LASSO_mRNA,RNA: SFRP1,RNA,SFRP1,,0.01805400309504447,0.12,30
LASSO_mRNA,RNA: PGR,RNA,PGR,,0.017352122463613142,0.08,31
LASSO_mRNA,RNA: TYMS,RNA,TYMS,,0.01709062269929317,0.08,32
LASSO_mRNA,RNA: ESR1,RNA,ESR1,,0.016200579374123246,0.12,33
LASSO_mRNA,RNA: SLC39A6,RNA,SLC39A6,,0.015578638229672958,0.12,34
LASSO_mRNA,RNA: CEP55,RNA,CEP55,,0.015345439550860016,0.04,35
LASSO_mRNA,RNA: CDC6,RNA,CDC6,,0.013795155538997008,0.08,36
LASSO_mRNA,RNA: CCNB1,RNA,CCNB1,,0.011531044439691964,0.08,37
LASSO_mRNA,RNA: ERBB2,RNA,ERBB2,,0.010808071949322326,0.28,38
LASSO_mRNA,RNA: MKI67,RNA,MKI67,,0.00841860324558037,0.08,39
LASSO_mRNA,RNA: CDH3,RNA,CDH3,,0.008300713264628248,0.12,40
LASSO_mRNA,RNA: BAG1,RNA,BAG1,,0.0076523122735137564,0.12,41
LASSO_mRNA,RNA: NAT1,RNA,NAT1,,0.0070646327097094175,0.12,42
LASSO_mRNA,RNA: TMEM45B,RNA,TMEM45B,,0.005178588161739633,0.12,43
LASSO_mRNA,RNA: CCNE1,RNA,CCNE1,,0.0049782281821639865,0.12,44
LASSO_mRNA,RNA: GRB7,RNA,GRB7,,0.004657223357244086,0.04,45
LASSO_mRNA,RNA: FOXC1,RNA,FOXC1,,0.003345716376254647,0.08,46
LASSO_mRNA,RNA: PHGDH,RNA,PHGDH,,0.0029949286836949847,0.12,47
LASSO_mRNA,RNA: CXXC5,RNA,CXXC5,,0.002160935419869222,0.08,48
LASSO_mRNA,RNA: FOXA1,RNA,FOXA1,,0.002035757415360686,0.08,49
LASSO_mRNA,RNA: KRT17,RNA,KRT17,,0.0014554289217986543,0.04,50
