gene,importance,selection_frequency,modalities,n_features,rank
BLVRA,0.14849570587118438,0.92,METH+RNA,4,1
ESR1,0.10888387072926807,0.76,METH,14,2
EXO1,0.07456429115670775,0.52,METH,6,3
MMP11,0.06751498164836227,0.68,METH+RNA,5,4
MLPH,0.06527802441410645,0.48,METH+RNA,4,5
CDC20,0.059075074329093875,0.4,METH+RNA,6,6
SFRP1,0.054582308744796394,0.28,METH,7,7
BAG1,0.05259393263125604,0.44,METH+RNA,4,8
CCNB1,0.05024998304037575,0.48,METH,3,9
ERBB2,0.04783121725968917,0.32,METH+RNA,4,10
MKI67,0.04588290717866652,0.36,METH,3,11
CDC6,0.04054583787321019,0.24,METH+RNA,4,12
MDM2,0.035916445495105545,0.32,METH,2,13
FOXA1,0.03248434056207342,0.24,METH+RNA,5,14
FGFR4,0.028097254807429018,0.16,METH,4,15
KRT5,0.025626174379984937,0.4,METH+RNA,3,16
NDC80,0.025078753300930394,0.24,METH,8,17
MAPT,0.024404035028913692,0.24,METH+RNA,3,18
TYMS,0.02310003073161066,0.2,METH,1,19
UBE2C,0.02299205854529522,0.12,METH,5,20
MYC,0.02271556022419284,0.24,METH+RNA,10,21
RRM2,0.0216213773896784,0.12,METH,2,22
BCL2,0.018297719193680128,0.28,METH+RNA,7,23
CXXC5,0.018009966770841115,0.16,METH,2,24
KIF2C,0.017855421843162946,0.12,METH,1,25
ANLN,0.014378862697690944,0.24,METH,1,26
NUF2,0.014000606293310765,0.16,METH+RNA,3,27
SLC39A6,0.013937153721344459,0.08,METH,5,28
CENPF,0.011186907432824461,0.08,METH,5,29
FOXC1,0.010779353822513082,0.16,METH,6,30
PGR,0.010309522019484874,0.08,METH,5,31
TMEM45B,0.010119541064561042,0.08,METH+RNA,2,32
PTTG1,0.0099250563365191,0.12,METH,4,33
BIRC5,0.009514467135515072,0.08,METH,2,34
ACTR3B,0.0088207675343309,0.12,METH+RNA,2,35
PHGDH,0.007823373776850818,0.08,METH,2,36
GPR160,0.0074832460082976384,0.12,METH+RNA,3,37
CCNE1,0.007210032392543084,0.08,METH,1,38
CDH3,0.007092064483790032,0.04,METH,2,39
UBE2T,0.006337811824625643,0.08,METH,5,40
ORC6,0.006320272329452801,0.04,METH,3,41
CEP55,0.0052595572633189315,0.04,METH,2,42
NAT1,0.004954124890246065,0.08,METH,3,43
MELK,0.0029081954618361988,0.04,METH+RNA,2,44
KRT14,0.0019220977554326077,0.04,METH,1,45
KRT17,0.0016876731414085723,0.04,RNA,1,46
