,LASSO_mRNA__expression,LASSO_mRNA__methylation,LASSO_multiomics__expression,LASSO_multiomics__methylation,NN_mRNA__expression,NN_mRNA__methylation,NN_integrated__expression,NN_integrated__methylation,expression_mean,methylation_mean,combined,rank
KRT5,0.92,,0.96,0.64,0.7,,0.78,0.86,0.8400000000000001,0.75,1.59,1
SFRP1,0.42,,0.0,0.92,0.74,,0.62,0.9,0.44499999999999995,0.91,1.355,2
MAPT,0.84,,0.94,0.14,0.58,,0.64,1.0,0.75,0.5700000000000001,1.32,3
ESR1,0.36,,0.0,1.0,0.64,,0.18,0.98,0.295,0.99,1.285,4
MYC,0.6,,0.88,0.68,0.78,,0.08,0.68,0.585,0.68,1.2650000000000001,5
NUF2,0.82,,0.9,0.54,0.54,,0.96,0.36,0.8049999999999999,0.45,1.255,6
MLPH,0.72,,0.92,0.96,0.02,,0.1,0.66,0.44000000000000006,0.81,1.25,7
CDC6,0.3,,0.8,0.82,0.42,,0.68,0.5,0.55,0.6599999999999999,1.21,8
ERBB2,0.26,,0.84,0.86,0.08,,0.36,0.78,0.385,0.8200000000000001,1.205,9
CENPF,0.54,,0.0,0.5,1.0,,0.92,0.64,0.615,0.5700000000000001,1.185,10
CDC20,0.62,,0.68,0.94,0.68,,0.8,0.0,0.6950000000000001,0.47,1.165,11
TYMS,0.38,,0.0,0.72,0.22,,0.86,0.84,0.365,0.78,1.145,12
MMP11,0.94,,0.98,0.18,0.6,,0.74,0.48,0.815,0.32999999999999996,1.145,13
BLVRA,1.0,,1.0,0.3,0.36,,0.32,0.62,0.6699999999999999,0.45999999999999996,1.13,14
BIRC5,0.7,,0.0,0.4,0.92,,0.5,0.76,0.53,0.5800000000000001,1.11,15
NDC80,0.96,,0.0,0.74,0.62,,0.82,0.26,0.6,0.5,1.1,16
FOXA1,0.04,,0.66,0.78,0.12,,0.02,0.92,0.21000000000000002,0.8500000000000001,1.06,17
EXO1,0.98,,0.0,0.98,0.2,,0.72,0.16,0.475,0.57,1.045,18
MDM2,0.44,,0.0,0.8,0.18,,0.46,0.7,0.27,0.75,1.02,19
BCL2,0.48,,0.78,0.62,0.46,,0.26,0.42,0.495,0.52,1.0150000000000001,20
MELK,0.9,,0.74,0.12,0.76,,0.58,0.4,0.7450000000000001,0.26,1.0050000000000001,21
TMEM45B,0.16,,0.72,0.44,0.72,,0.9,0.32,0.625,0.38,1.005,22
UBE2T,0.46,,0.0,0.26,0.9,,1.0,0.52,0.5900000000000001,0.39,0.9800000000000001,23
FOXC1,0.1,,0.0,0.48,0.94,,0.44,0.74,0.37,0.61,0.98,24
UBE2C,0.5,,0.0,0.7,0.1,,0.76,0.58,0.33999999999999997,0.6399999999999999,0.9799999999999999,25
BAG1,0.2,,0.82,0.9,0.26,,0.52,0.08,0.45,0.49,0.94,26
CDH3,0.22,,0.0,0.32,0.52,,0.7,0.82,0.36,0.57,0.9299999999999999,27
FGFR4,0.64,,0.0,0.76,0.14,,0.24,0.56,0.255,0.66,0.915,28
MKI67,0.24,,0.0,0.84,0.56,,0.66,0.24,0.365,0.54,0.905,29
MYBL2,0.76,,0.0,0.0,0.8,,0.3,0.88,0.465,0.44,0.905,30
KIF2C,0.86,,0.0,0.58,0.96,,0.6,0.0,0.605,0.29,0.895,31
PGR,0.4,,0.0,0.46,0.84,,0.2,0.6,0.36,0.53,0.89,32
GPR160,0.52,,0.86,0.28,0.66,,0.06,0.44,0.525,0.36,0.885,33
EGFR,0.58,,0.0,0.0,0.88,,0.16,0.96,0.40499999999999997,0.48,0.885,34
RRM2,0.78,,0.0,0.66,0.5,,0.56,0.14,0.46,0.4,0.8600000000000001,35
ACTR3B,0.56,,0.76,0.38,0.24,,0.4,0.34,0.49,0.36,0.85,36
CCNB1,0.28,,0.0,0.88,0.38,,0.48,0.22,0.28500000000000003,0.55,0.8350000000000001,37
PHGDH,0.08,,0.0,0.36,0.04,,0.54,0.94,0.165,0.6499999999999999,0.815,38
ANLN,0.8,,0.0,0.56,0.34,,0.42,0.28,0.39,0.42000000000000004,0.81,39
ORC6,0.66,,0.0,0.24,0.82,,0.28,0.38,0.44,0.31,0.75,40
CXXC5,0.06,,0.0,0.6,0.06,,0.14,0.72,0.065,0.6599999999999999,0.7249999999999999,41
CEP55,0.32,,0.0,0.22,0.16,,0.84,0.54,0.32999999999999996,0.38,0.71,42
SLC39A6,0.34,,0.0,0.52,0.3,,0.88,0.1,0.38,0.31,0.69,43
GRB7,0.12,,0.0,0.0,0.98,,0.04,0.8,0.28500000000000003,0.4,0.685,44
PTTG1,0.88,,0.0,0.42,0.28,,0.34,0.12,0.37500000000000006,0.27,0.645,45
KRT17,0.02,,0.7,0.0,0.86,,0.98,0.0,0.64,0.0,0.64,46
MIA,0.68,,0.0,0.0,0.48,,0.94,0.18,0.525,0.09,0.615,47
NAT1,0.18,,0.0,0.2,0.44,,0.38,0.46,0.25,0.33,0.5800000000000001,48
KRT14,0.74,,0.0,0.16,0.32,,0.22,0.2,0.32,0.18,0.5,49
CCNE1,0.14,,0.0,0.34,0.4,,0.12,0.3,0.165,0.32,0.485,50
