seed,fold,n_selected,n_features_total,model
0,0,3,50,LASSO_mRNA
0,1,0,50,LASSO_mRNA
0,2,7,50,LASSO_mRNA
0,3,6,50,LASSO_mRNA
0,4,16,50,LASSO_mRNA
1,0,0,50,LASSO_mRNA
1,1,5,50,LASSO_mRNA
1,2,5,50,LASSO_mRNA
1,3,0,50,LASSO_mRNA
1,4,9,50,LASSO_mRNA
2,0,0,50,LASSO_mRNA
2,1,8,50,LASSO_mRNA
2,2,3,50,LASSO_mRNA
2,3,2,50,LASSO_mRNA
2,4,39,50,LASSO_mRNA
3,0,29,50,LASSO_mRNA
3,1,3,50,LASSO_mRNA
3,2,5,50,LASSO_mRNA
3,3,31,50,LASSO_mRNA
3,4,1,50,LASSO_mRNA
4,0,43,50,LASSO_mRNA
4,1,2,50,LASSO_mRNA
4,2,2,50,LASSO_mRNA
4,3,2,50,LASSO_mRNA
4,4,2,50,LASSO_mRNA
0,0,15,577,LASSO_multiomics
0,1,6,577,LASSO_multiomics
0,2,77,577,LASSO_multiomics
0,3,10,577,LASSO_multiomics
0,4,11,577,LASSO_multiomics
1,0,76,577,LASSO_multiomics
1,1,12,577,LASSO_multiomics
1,2,75,577,LASSO_multiomics
1,3,3,577,LASSO_multiomics
1,4,23,577,LASSO_multiomics
2,0,27,577,LASSO_multiomics
2,1,33,577,LASSO_multiomics
2,2,4,577,LASSO_multiomics
2,3,3,577,LASSO_multiomics
2,4,8,577,LASSO_multiomics
3,0,29,577,LASSO_multiomics
3,1,2,577,LASSO_multiomics
3,2,10,577,LASSO_multiomics
3,3,27,577,LASSO_multiomics
3,4,16,577,LASSO_multiomics
4,0,7,577,LASSO_multiomics
4,1,2,577,LASSO_multiomics
4,2,45,577,LASSO_multiomics
4,3,0,577,LASSO_multiomics
4,4,28,577,LASSO_multiomics
