patient,missing_count,missing_fraction
TCGA-3C-AAAU,60,0.1048951048951049
TCGA-3C-AALJ,57,0.09965034965034965
TCGA-3C-AALK,56,0.0979020979020979
TCGA-4H-AAAK,54,0.0944055944055944
TCGA-5L-AAT0,58,0.10139860139860139
TCGA-5L-AAT1,56,0.0979020979020979
TCGA-5T-A9QA,53,0.09265734265734266
TCGA-A1-A0SE,59,0.10314685314685315
TCGA-A1-A0SF,47,0.08216783216783216
TCGA-A1-A0SG,46,0.08041958041958042
TCGA-A1-A0SH,55,0.09615384615384616
TCGA-A1-A0SI,48,0.08391608391608392
TCGA-A1-A0SJ,64,0.11188811188811189
TCGA-A1-A0SN,46,0.08041958041958042
TCGA-A1-A0SQ,48,0.08391608391608392
TCGA-A2-A04R,80,0.13986013986013987
TCGA-A2-A0CK,50,0.08741258741258741
TCGA-A2-A0CO,49,0.08566433566433566
TCGA-A2-A0CR,47,0.08216783216783216
TCGA-A2-A0CT,67,0.11713286713286714
TCGA-A2-A0EN,65,0.11363636363636363
TCGA-A2-A0EP,52,0.09090909090909091
TCGA-A2-A0EU,66,0.11538461538461539
TCGA-A2-A0SU,65,0.11363636363636363
TCGA-A2-A0SV,62,0.10839160839160839
TCGA-A2-A0SW,66,0.11538461538461539
TCGA-A2-A0SY,57,0.09965034965034965
TCGA-A2-A0T4,69,0.12062937062937062
TCGA-A2-A0T5,54,0.0944055944055944
TCGA-A2-A0T6,61,0.10664335664335664
TCGA-A2-A0T7,63,0.11013986013986014
TCGA-A2-A0YC,61,0.10664335664335664
TCGA-A2-A0YD,70,0.12237762237762238
TCGA-A2-A0YF,64,0.11188811188811189
TCGA-A2-A0YG,72,0.1258741258741259
TCGA-A2-A0YH,76,0.13286713286713286
TCGA-A2-A0YI,63,0.11013986013986014
TCGA-A2-A0YL,57,0.09965034965034965
TCGA-A2-A0YT,65,0.11363636363636363
TCGA-A2-A1FV,53,0.09265734265734266
TCGA-A2-A1FW,59,0.10314685314685315
TCGA-A2-A1FX,52,0.09090909090909091
TCGA-A2-A1FZ,51,0.08916083916083917
TCGA-A2-A1G0,49,0.08566433566433566
TCGA-A2-A1G4,55,0.09615384615384616
TCGA-A2-A259,51,0.08916083916083917
TCGA-A2-A25B,63,0.11013986013986014
TCGA-A2-A25C,49,0.08566433566433566
TCGA-A2-A25D,46,0.08041958041958042
TCGA-A2-A25E,52,0.09090909090909091
TCGA-A2-A3KC,50,0.08741258741258741
TCGA-A2-A3KD,52,0.09090909090909091
TCGA-A2-A4RW,50,0.08741258741258741
TCGA-A2-A4S0,51,0.08916083916083917
TCGA-A2-A4S2,55,0.09615384615384616
TCGA-A2-A4S3,55,0.09615384615384616
TCGA-A7-A0CH,69,0.12062937062937062
TCGA-A7-A0D9,62,0.10839160839160839
TCGA-A7-A0DB,66,0.11538461538461539
TCGA-A7-A0DC,64,0.11188811188811189
TCGA-A7-A13F,59,0.10314685314685315
TCGA-A7-A13G,57,0.09965034965034965
TCGA-A7-A13H,49,0.08566433566433566
TCGA-A7-A26E,47,0.08216783216783216
