fold,n_test,n_features,epochs_trained,learning_rate,weight_decay,num_nodes,dropout,batch_norm,batch_size,patience,meth_variance_threshold,train_c_index,val_c_index,test_c_index,stage,config_id
1,112,326,11,0.0001,0.001,[4],0.4,False,32,10,0.0005,0.4664448669201521,0.49671772428884026,0.6184873949579832,conservative_joint_tuning,1
2,111,318,11,0.0001,0.001,[4],0.4,False,32,10,0.0005,0.6324793672627235,0.5953488372093023,0.5825991189427313,conservative_joint_tuning,1
3,111,322,11,0.0001,0.001,[4],0.4,False,32,10,0.0005,0.468200146627566,0.34965034965034963,0.30405405405405406,conservative_joint_tuning,1
4,111,330,11,0.0001,0.001,[4],0.4,False,32,10,0.0005,0.3668924466338259,0.33877551020408164,0.4338235294117647,conservative_joint_tuning,1
5,111,315,11,0.0001,0.001,[4],0.4,False,32,10,0.0005,0.6241675429372591,0.629976580796253,0.6951983298538622,conservative_joint_tuning,1
1,112,326,11,0.0001,0.001,[4],0.5,False,32,10,0.0005,0.4664448669201521,0.49671772428884026,0.6184873949579832,conservative_joint_tuning,2
2,111,318,11,0.0001,0.001,[4],0.5,False,32,10,0.0005,0.6324793672627235,0.5953488372093023,0.5825991189427313,conservative_joint_tuning,2
3,111,322,11,0.0001,0.001,[4],0.5,False,32,10,0.0005,0.468200146627566,0.34965034965034963,0.30405405405405406,conservative_joint_tuning,2
4,111,330,11,0.0001,0.001,[4],0.5,False,32,10,0.0005,0.3668924466338259,0.33877551020408164,0.4338235294117647,conservative_joint_tuning,2
5,111,315,11,0.0001,0.001,[4],0.5,False,32,10,0.0005,0.6241675429372591,0.629976580796253,0.6951983298538622,conservative_joint_tuning,2
1,112,326,11,0.0001,0.001,[4],0.6,False,32,10,0.0005,0.4664448669201521,0.49671772428884026,0.6184873949579832,conservative_joint_tuning,3
2,111,318,11,0.0001,0.001,[4],0.6,False,32,10,0.0005,0.6324793672627235,0.5953488372093023,0.5825991189427313,conservative_joint_tuning,3
3,111,322,11,0.0001,0.001,[4],0.6,False,32,10,0.0005,0.468200146627566,0.34965034965034963,0.30405405405405406,conservative_joint_tuning,3
4,111,330,11,0.0001,0.001,[4],0.6,False,32,10,0.0005,0.3668924466338259,0.33877551020408164,0.4338235294117647,conservative_joint_tuning,3
5,111,315,11,0.0001,0.001,[4],0.6,False,32,10,0.0005,0.6241675429372591,0.629976580796253,0.6951983298538622,conservative_joint_tuning,3
1,112,326,11,0.0001,0.001,[8],0.4,False,32,10,0.0005,0.6454372623574145,0.4310722100656455,0.31092436974789917,conservative_joint_tuning,4
2,111,318,13,0.0001,0.001,[8],0.4,False,32,10,0.0005,0.5988651994497937,0.5186046511627908,0.6057268722466961,conservative_joint_tuning,4
3,111,322,11,0.0001,0.001,[8],0.4,False,32,10,0.0005,0.5098973607038123,0.3333333333333333,0.6756756756756757,conservative_joint_tuning,4
4,111,330,14,0.0001,0.001,[8],0.4,False,32,10,0.0005,0.5299671592775042,0.6653061224489796,0.4970588235294118,conservative_joint_tuning,4
5,111,315,11,0.0001,0.001,[8],0.4,False,32,10,0.0005,0.5602874167542937,0.7236533957845434,0.8308977035490606,conservative_joint_tuning,4
1,112,326,11,0.0001,0.001,[8],0.5,False,32,10,0.0005,0.6454372623574145,0.4310722100656455,0.31092436974789917,conservative_joint_tuning,5
2,111,318,13,0.0001,0.001,[8],0.5,False,32,10,0.0005,0.5973177441540578,0.513953488372093,0.6035242290748899,conservative_joint_tuning,5
3,111,322,11,0.0001,0.001,[8],0.5,False,32,10,0.0005,0.5098973607038123,0.3333333333333333,0.6756756756756757,conservative_joint_tuning,5
4,111,330,14,0.0001,0.001,[8],0.5,False,32,10,0.0005,0.5293513957307061,0.6755102040816326,0.49411764705882355,conservative_joint_tuning,5
5,111,315,11,0.0001,0.001,[8],0.5,False,32,10,0.0005,0.5602874167542937,0.7236533957845434,0.8308977035490606,conservative_joint_tuning,5
1,112,326,11,0.0001,0.001,[8],0.6,False,32,10,0.0005,0.6454372623574145,0.4310722100656455,0.31092436974789917,conservative_joint_tuning,6
2,111,318,13,0.0001,0.001,[8],0.6,False,32,10,0.0005,0.5952544704264099,0.5093023255813953,0.6013215859030837,conservative_joint_tuning,6
3,111,322,11,0.0001,0.001,[8],0.6,False,32,10,0.0005,0.5098973607038123,0.3333333333333333,0.6756756756756757,conservative_joint_tuning,6
4,111,330,14,0.0001,0.001,[8],0.6,False,32,10,0.0005,0.5213464696223317,0.6673469387755102,0.4838235294117647,conservative_joint_tuning,6
5,111,315,11,0.0001,0.001,[8],0.6,False,32,10,0.0005,0.5602874167542937,0.7236533957845434,0.8308977035490606,conservative_joint_tuning,6
1,112,326,11,0.0001,0.001,[16],0.4,False,32,10,0.0005,0.3821292775665399,0.3916849015317287,0.6,conservative_joint_tuning,7
2,111,318,12,0.0001,0.001,[16],0.4,False,32,10,0.0005,0.6372077028885832,0.7395348837209302,0.6806167400881057,conservative_joint_tuning,7
3,111,322,12,0.0001,0.001,[16],0.4,False,32,10,0.0005,0.5734970674486803,0.337995337995338,0.6537162162162162,conservative_joint_tuning,7
4,111,330,12,0.0001,0.001,[16],0.4,False,32,10,0.0005,0.6067323481116584,0.6020408163265306,0.6544117647058824,conservative_joint_tuning,7
5,111,315,12,0.0001,0.001,[16],0.4,False,32,10,0.0005,0.5672975814931651,0.5105386416861827,0.3653444676409186,conservative_joint_tuning,7
1,112,326,11,0.0001,0.001,[16],0.5,False,32,10,0.0005,0.3821292775665399,0.3916849015317287,0.6,conservative_joint_tuning,8
2,111,318,12,0.0001,0.001,[16],0.5,False,32,10,0.0005,0.6329092159559835,0.7372093023255814,0.6806167400881057,conservative_joint_tuning,8
3,111,322,12,0.0001,0.001,[16],0.5,False,32,10,0.0005,0.5707478005865103,0.32867132867132864,0.6554054054054054,conservative_joint_tuning,8
4,111,330,12,0.0001,0.001,[16],0.5,False,32,10,0.0005,0.6081691297208539,0.6,0.65,conservative_joint_tuning,8
5,111,315,12,0.0001,0.001,[16],0.5,False,32,10,0.0005,0.5644935155976165,0.5128805620608899,0.35908141962421714,conservative_joint_tuning,8
1,112,326,11,0.0001,0.001,[16],0.6,False,32,10,0.0005,0.3821292775665399,0.3916849015317287,0.6,conservative_joint_tuning,9
2,111,318,12,0.0001,0.001,[16],0.6,False,32,10,0.0005,0.6339408528198074,0.7348837209302326,0.6806167400881057,conservative_joint_tuning,9
3,111,322,12,0.0001,0.001,[16],0.6,False,32,10,0.0005,0.5687316715542522,0.32634032634032634,0.6554054054054054,conservative_joint_tuning,9
4,111,330,12,0.0001,0.001,[16],0.6,False,32,10,0.0005,0.6069376026272578,0.6020408163265306,0.6514705882352941,conservative_joint_tuning,9
5,111,315,12,0.0001,0.001,[16],0.6,False,32,10,0.0005,0.5608131791097091,0.5081967213114754,0.35490605427974947,conservative_joint_tuning,9
1,112,326,11,0.0001,0.001,"[8, 4]",0.4,False,32,10,0.0005,0.5819391634980988,0.29540481400437635,0.49747899159663866,conservative_joint_tuning,10
2,111,318,11,0.0001,0.001,"[8, 4]",0.4,False,32,10,0.0005,0.4672455295735901,0.4930232558139535,0.5198237885462555,conservative_joint_tuning,10
3,111,322,12,0.0001,0.001,"[8, 4]",0.4,False,32,10,0.0005,0.593108504398827,0.5034965034965035,0.7128378378378378,conservative_joint_tuning,10
4,111,330,11,0.0001,0.001,"[8, 4]",0.4,False,32,10,0.0005,0.5653735632183908,0.40816326530612246,0.6051470588235294,conservative_joint_tuning,10
5,111,315,12,0.0001,0.001,"[8, 4]",0.4,False,32,10,0.0005,0.5399579390115667,0.36768149882903983,0.5532359081419624,conservative_joint_tuning,10
1,112,326,11,0.0001,0.001,"[8, 4]",0.5,False,32,10,0.0005,0.5819391634980988,0.29540481400437635,0.49747899159663866,conservative_joint_tuning,11
2,111,318,11,0.0001,0.001,"[8, 4]",0.5,False,32,10,0.0005,0.4672455295735901,0.4930232558139535,0.5198237885462555,conservative_joint_tuning,11
3,111,322,12,0.0001,0.001,"[8, 4]",0.5,False,32,10,0.0005,0.5881598240469208,0.5058275058275058,0.7077702702702703,conservative_joint_tuning,11
4,111,330,11,0.0001,0.001,"[8, 4]",0.5,False,32,10,0.0005,0.5653735632183908,0.40816326530612246,0.6051470588235294,conservative_joint_tuning,11
5,111,315,12,0.0001,0.001,"[8, 4]",0.5,False,32,10,0.0005,0.5425867507886435,0.3911007025761124,0.5615866388308977,conservative_joint_tuning,11
1,112,326,11,0.0001,0.001,"[8, 4]",0.6,False,32,10,0.0005,0.5819391634980988,0.29540481400437635,0.49747899159663866,conservative_joint_tuning,12
2,111,318,11,0.0001,0.001,"[8, 4]",0.6,False,32,10,0.0005,0.4672455295735901,0.4930232558139535,0.5198237885462555,conservative_joint_tuning,12
3,111,322,12,0.0001,0.001,"[8, 4]",0.6,False,32,10,0.0005,0.5885263929618768,0.5174825174825175,0.7195945945945946,conservative_joint_tuning,12
4,111,330,11,0.0001,0.001,"[8, 4]",0.6,False,32,10,0.0005,0.5653735632183908,0.40816326530612246,0.6051470588235294,conservative_joint_tuning,12
5,111,315,12,0.0001,0.001,"[8, 4]",0.6,False,32,10,0.0005,0.5369786189975464,0.3840749414519906,0.5594989561586639,conservative_joint_tuning,12
1,112,326,11,0.0001,0.01,[4],0.4,False,32,10,0.0005,0.4664448669201521,0.49671772428884026,0.6184873949579832,conservative_joint_tuning,13
2,111,318,11,0.0001,0.01,[4],0.4,False,32,10,0.0005,0.6324793672627235,0.5953488372093023,0.5825991189427313,conservative_joint_tuning,13
3,111,322,11,0.0001,0.01,[4],0.4,False,32,10,0.0005,0.468200146627566,0.34965034965034963,0.30405405405405406,conservative_joint_tuning,13
4,111,330,11,0.0001,0.01,[4],0.4,False,32,10,0.0005,0.3668924466338259,0.33877551020408164,0.4338235294117647,conservative_joint_tuning,13
5,111,315,11,0.0001,0.01,[4],0.4,False,32,10,0.0005,0.6241675429372591,0.629976580796253,0.6951983298538622,conservative_joint_tuning,13
1,112,326,11,0.0001,0.01,[4],0.5,False,32,10,0.0005,0.4664448669201521,0.49671772428884026,0.6184873949579832,conservative_joint_tuning,14
2,111,318,11,0.0001,0.01,[4],0.5,False,32,10,0.0005,0.6324793672627235,0.5953488372093023,0.5825991189427313,conservative_joint_tuning,14
3,111,322,11,0.0001,0.01,[4],0.5,False,32,10,0.0005,0.468200146627566,0.34965034965034963,0.30405405405405406,conservative_joint_tuning,14
4,111,330,11,0.0001,0.01,[4],0.5,False,32,10,0.0005,0.3668924466338259,0.33877551020408164,0.4338235294117647,conservative_joint_tuning,14
5,111,315,11,0.0001,0.01,[4],0.5,False,32,10,0.0005,0.6241675429372591,0.629976580796253,0.6951983298538622,conservative_joint_tuning,14
1,112,326,11,0.0001,0.01,[4],0.6,False,32,10,0.0005,0.4664448669201521,0.49671772428884026,0.6184873949579832,conservative_joint_tuning,15
2,111,318,11,0.0001,0.01,[4],0.6,False,32,10,0.0005,0.6324793672627235,0.5953488372093023,0.5825991189427313,conservative_joint_tuning,15
3,111,322,11,0.0001,0.01,[4],0.6,False,32,10,0.0005,0.468200146627566,0.34965034965034963,0.30405405405405406,conservative_joint_tuning,15
4,111,330,11,0.0001,0.01,[4],0.6,False,32,10,0.0005,0.3668924466338259,0.33877551020408164,0.4338235294117647,conservative_joint_tuning,15
5,111,315,11,0.0001,0.01,[4],0.6,False,32,10,0.0005,0.6241675429372591,0.629976580796253,0.6951983298538622,conservative_joint_tuning,15
1,112,326,11,0.0001,0.01,[8],0.4,False,32,10,0.0005,0.6454372623574145,0.4310722100656455,0.31092436974789917,conservative_joint_tuning,16
2,111,318,13,0.0001,0.01,[8],0.4,False,32,10,0.0005,0.5988651994497937,0.5186046511627908,0.6057268722466961,conservative_joint_tuning,16
3,111,322,11,0.0001,0.01,[8],0.4,False,32,10,0.0005,0.5098973607038123,0.3333333333333333,0.6756756756756757,conservative_joint_tuning,16
4,111,330,14,0.0001,0.01,[8],0.4,False,32,10,0.0005,0.5303776683087028,0.6653061224489796,0.4970588235294118,conservative_joint_tuning,16
5,111,315,11,0.0001,0.01,[8],0.4,False,32,10,0.0005,0.5602874167542937,0.7236533957845434,0.8308977035490606,conservative_joint_tuning,16
1,112,326,11,0.0001,0.01,[8],0.5,False,32,10,0.0005,0.6454372623574145,0.4310722100656455,0.31092436974789917,conservative_joint_tuning,17
2,111,318,13,0.0001,0.01,[8],0.5,False,32,10,0.0005,0.5973177441540578,0.513953488372093,0.6035242290748899,conservative_joint_tuning,17
3,111,322,11,0.0001,0.01,[8],0.5,False,32,10,0.0005,0.5098973607038123,0.3333333333333333,0.6756756756756757,conservative_joint_tuning,17
4,111,330,14,0.0001,0.01,[8],0.5,False,32,10,0.0005,0.5293513957307061,0.6755102040816326,0.49411764705882355,conservative_joint_tuning,17
5,111,315,11,0.0001,0.01,[8],0.5,False,32,10,0.0005,0.5602874167542937,0.7236533957845434,0.8308977035490606,conservative_joint_tuning,17
1,112,326,11,0.0001,0.01,[8],0.6,False,32,10,0.0005,0.6454372623574145,0.4310722100656455,0.31092436974789917,conservative_joint_tuning,18
2,111,318,13,0.0001,0.01,[8],0.6,False,32,10,0.0005,0.5952544704264099,0.5093023255813953,0.6013215859030837,conservative_joint_tuning,18
3,111,322,11,0.0001,0.01,[8],0.6,False,32,10,0.0005,0.5098973607038123,0.3333333333333333,0.6756756756756757,conservative_joint_tuning,18
4,111,330,14,0.0001,0.01,[8],0.6,False,32,10,0.0005,0.5213464696223317,0.6673469387755102,0.4838235294117647,conservative_joint_tuning,18
5,111,315,11,0.0001,0.01,[8],0.6,False,32,10,0.0005,0.5602874167542937,0.7236533957845434,0.8308977035490606,conservative_joint_tuning,18
1,112,326,11,0.0001,0.01,[16],0.4,False,32,10,0.0005,0.3821292775665399,0.3916849015317287,0.6,conservative_joint_tuning,19
2,111,318,12,0.0001,0.01,[16],0.4,False,32,10,0.0005,0.6373796423658872,0.7395348837209302,0.6806167400881057,conservative_joint_tuning,19
3,111,322,12,0.0001,0.01,[16],0.4,False,32,10,0.0005,0.5734970674486803,0.337995337995338,0.6537162162162162,conservative_joint_tuning,19
4,111,330,12,0.0001,0.01,[16],0.4,False,32,10,0.0005,0.6065270935960592,0.6020408163265306,0.6544117647058824,conservative_joint_tuning,19
5,111,315,12,0.0001,0.01,[16],0.4,False,32,10,0.0005,0.5674728356116369,0.5105386416861827,0.3653444676409186,conservative_joint_tuning,19
1,112,326,11,0.0001,0.01,[16],0.5,False,32,10,0.0005,0.3821292775665399,0.3916849015317287,0.6,conservative_joint_tuning,20
2,111,318,12,0.0001,0.01,[16],0.5,False,32,10,0.0005,0.6330811554332875,0.7372093023255814,0.6806167400881057,conservative_joint_tuning,20
3,111,322,12,0.0001,0.01,[16],0.5,False,32,10,0.0005,0.5709310850439883,0.32867132867132864,0.6554054054054054,conservative_joint_tuning,20
4,111,330,12,0.0001,0.01,[16],0.5,False,32,10,0.0005,0.6079638752052545,0.6,0.65,conservative_joint_tuning,20
5,111,315,12,0.0001,0.01,[16],0.5,False,32,10,0.0005,0.5646687697160884,0.5128805620608899,0.35908141962421714,conservative_joint_tuning,20
