pathway,n_in_pam50,overlap,overlap_genes,p_value,fdr
KEGG | MAPK signaling pathway,5,3,"ERBB2, MAPT, MYC",0.0482603031962091,0.7635872728448555
KEGG | Breast cancer,5,3,"ERBB2, ESR1, MYC",0.0482603031962091,0.7635872728448555
Reactome | Transcriptional Regulation By AP-2 (TFAP2) Family Of Transcription Factors R-HSA-8864260,5,3,"ERBB2, ESR1, MYC",0.0482603031962091,0.7635872728448555
KEGG | Proteoglycans in cancer,5,3,"ERBB2, ESR1, MYC",0.0482603031962091,0.7635872728448555
Reactome | Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,6,3,"ERBB2, ESR1, MYC",0.08556514187543658,0.7635872728448555
Reactome | TFAP2 (AP-2) Family Regulates Transcription Of Growth Factors And Their Receptors R-HSA-8866910,3,2,"ERBB2, ESR1",0.09795918367346938,0.7635872728448555
KEGG | Thyroid hormone signaling pathway,3,2,"ESR1, MYC",0.09795918367346938,0.7635872728448555
KEGG | Central carbon metabolism in cancer,3,2,"ERBB2, MYC",0.09795918367346938,0.7635872728448555
KEGG | Endometrial cancer,3,2,"ERBB2, MYC",0.09795918367346938,0.7635872728448555
KEGG | ErbB signaling pathway,3,2,"ERBB2, MYC",0.09795918367346938,0.7635872728448555
Reactome | Signaling By Receptor Tyrosine Kinases R-HSA-9006934,7,3,"ERBB2, ESR1, MYC",0.13262010884582578,0.7635872728448555
Reactome | Developmental Biology R-HSA-1266738,7,3,"ERBB2, KRT5, MYC",0.13262010884582578,0.7635872728448555
Reactome | Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530,4,2,"ERBB2, ESR1",0.17416413373860182,0.7635872728448555
KEGG | Bladder cancer,4,2,"ERBB2, MYC",0.17416413373860182,0.7635872728448555
Reactome | Negative Regulation Of PI3K/AKT Network R-HSA-199418,4,2,"ERBB2, ESR1",0.17416413373860182,0.7635872728448555
"Reactome | PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558",4,2,"ERBB2, ESR1",0.17416413373860182,0.7635872728448555
Reactome | MAPK Family Signaling Cascades R-HSA-5683057,4,2,"ERBB2, MYC",0.17416413373860182,0.7635872728448555
Reactome | G0 And Early G1 R-HSA-1538133,4,2,"CDC6, MYC",0.17416413373860182,0.7635872728448555
Reactome | Deubiquitination R-HSA-5688426,4,2,"ESR1, MYC",0.17416413373860182,0.7635872728448555
KEGG | Chemical carcinogenesis,8,3,"CDC6, ESR1, MYC",0.1877729073413517,0.7635872728448555
Reactome | Disease R-HSA-1643685,9,3,"ERBB2, ESR1, MYC",0.24905379455860277,0.7635872728448555
KEGG | Pathways in cancer,9,3,"ERBB2, ESR1, MYC",0.24905379455860277,0.7635872728448555
Reactome | PI3K/AKT Signaling In Cancer R-HSA-2219528,5,2,"ERBB2, ESR1",0.2581000207668636,0.7635872728448555
KEGG | Gastric cancer,5,2,"ERBB2, MYC",0.2581000207668636,0.7635872728448555
Reactome | S Phase R-HSA-69242,5,2,"CDC6, MYC",0.2581000207668636,0.7635872728448555
Reactome | Intracellular Signaling By Second Messengers R-HSA-9006925,5,2,"ERBB2, ESR1",0.2581000207668636,0.7635872728448555
Reactome | PIP3 Activates AKT Signaling R-HSA-1257604,5,2,"ERBB2, ESR1",0.2581000207668636,0.7635872728448555
Reactome | Estrogen-dependent Gene Expression R-HSA-9018519,6,2,"ESR1, MYC",0.3443674602125772,0.7635872728448555
KEGG | MicroRNAs in cancer,6,2,"ERBB2, MYC",0.3443674602125772,0.7635872728448555
