cpg,gene,spearman_rho,p_value,q_value
cg18509990,NAT1,-0.654933178365905,2.8828068397997792e-70,1.5192392045744836e-67
cg15543523,ESR1,-0.5931293365203688,8.642410393774411e-55,2.2772751387595574e-52
cg26089753,ESR1,-0.5599535393591402,8.84301421513571e-48,1.5534228304588395e-45
cg09102997,NAT1,-0.5481730919108644,1.7808008549445833e-45,2.3462051263894885e-43
cg08884395,ESR1,-0.5457067616196319,5.2660306712551105e-45,4.715653360475332e-43
cg07470176,NAT1,-0.5456625819156938,5.3688653060440214e-45,4.715653360475332e-43
cg01715172,ESR1,-0.5434476119491507,1.4105240424119876e-44,1.0619231005015963e-42
cg21608605,ESR1,-0.5394187188262428,8.02534675733712e-44,5.286697176395828e-42
cg07584093,ESR1,-0.5356494571141495,3.996781747775843e-43,2.3403377567531883e-41
cg10441070,ESR1,-0.5251168005125653,3.192464149980279e-41,1.682428607039607e-39
cg01321962,ESR1,-0.5213959549143768,1.4467007853148747e-40,6.931011944190355e-39
cg09646983,ESR1,-0.5085738213265182,2.2945591032176804e-38,1.0076938728297645e-36
cg25338972,ESR1,-0.49861012130791826,1.0165245299078765e-36,4.1208340558573153e-35
cg19449067,ESR1,-0.4945245409849801,4.6419765504263276e-36,1.7473726014819105e-34
cg17706972,ESR1,-0.485458152944083,1.2560339311608023e-34,4.4128658781449526e-33
cg24900983,ESR1,-0.48505703888930213,1.4500541628903116e-34,4.7761158990199635e-33
cg23664186,FOXA1,-0.48325057988383097,2.762554520602385e-34,8.563919013867393e-33
cg07671949,ESR1,-0.4704580339211364,2.3800872918371735e-32,6.9683666822121695e-31
cg03684977,GRB7,-0.4627158265955363,3.226771247171085e-31,8.950044459258746e-30
cg08907436,ESR1,-0.46135324921212867,5.07042880014833e-31,1.336057988839085e-29
cg07189962,ESR1,-0.4523886022550343,9.431269486595608e-30,2.3667995330647077e-28
cg21157690,ESR1,-0.4499814472141301,2.037477995802249e-29,4.880685926308114e-28
cg24764793,ESR1,-0.44963345639543917,2.2763182299326905e-29,5.215737857280556e-28
cg20627916,ESR1,-0.4464567541218588,6.224887147544648e-29,1.366881469481679e-27
cg07619683,ESR1,-0.44443659176918,1.173773025417777e-28,2.474313537580674e-27
cg11813455,ESR1,-0.44329948553844306,1.6742498359047663e-28,3.393575628930046e-27
cg06611115,ESR1,-0.44291417396528376,1.887781301534188e-28,3.684669429290804e-27
cg17264271,ESR1,-0.4394360813826459,5.540122347113903e-28,1.0427301703317952e-26
cg19411146,ESR1,-0.43771845249726954,9.385077227647658e-28,1.7054950686104537e-26
cg22904102,NAT1,-0.4340978686016257,2.822993988631158e-27,4.959059440028734e-26
cg21950534,ESR1,-0.43291960867406964,4.028247446085397e-27,6.848020658345175e-26
cg08161546,ESR1,-0.42536958642283057,3.8039870769570706e-26,6.2646912173636755e-25
cg21919556,GPR160,-0.4221554961501793,9.726223905998439e-26,1.553248484382175e-24
cg10724086,FOXA1,-0.4216314589617622,1.1324079405262438e-25,1.755232307815678e-24
cg07746998,ESR1,-0.41938091660041954,2.169621750250758e-25,3.266830463948998e-24
cg27316393,ESR1,-0.41666483985496144,4.724421967539075e-25,6.916028824703035e-24
cg23164938,ESR1,-0.4164022496816304,5.091665840395496e-25,7.252183507806557e-24
cg20893956,ESR1,-0.41534973716102164,6.8688406825428385e-25,9.525997472894936e-24
cg15227682,ERBB2,-0.4146090378628805,8.474442823358718e-25,1.1451362481820628e-23
cg23009221,ESR1,-0.41297042138561274,1.3462442212370534e-24,1.7736767614798178e-23
cg00655307,ESR1,-0.41096061470174133,2.366795852660228e-24,3.042198571590098e-23
cg10323697,FOXA1,-0.40824131021535626,5.047384982422396e-24,6.333266394610958e-23
cg11260422,FOXA1,-0.40628556819201184,8.66475523358807e-24,1.0619362809537008e-22
cg14187895,ERBB2,-0.40037537282088825,4.341180115538469e-23,5.199549820201757e-22
cg04241863,NAT1,-0.3965131118233361,1.2229888254328649e-22,1.432255802229155e-21
cg05171584,ESR1,-0.39393152428316924,2.425497449224038e-22,2.7787764255240613e-21
cg18745416,ESR1,-0.39143735472644164,4.673363384865358e-22,5.240132986859668e-21
cg23165623,ESR1,-0.3906900654572411,5.681935078313915e-22,6.238291221398819e-21
cg21614759,ESR1,-0.38717592976758525,1.414754833816603e-21,1.4911515948426995e-20
cg17355719,GRB7,-0.3859085707415237,1.9606271706662754e-21,2.0259814096884845e-20
cg12413918,ERBB2,-0.3808479436802245,7.114438283074115e-21,7.210209567653958e-20
cg07967228,GRB7,-0.3736864607430717,4.243310211238574e-20,4.219291474193827e-19
cg03015370,FOXA1,-0.3648418454016997,3.6243819731458554e-19,3.5371283330516034e-18
cg18007957,ESR1,-0.362072779909357,6.998248761583605e-19,6.705594722462836e-18
cg19453250,SLC39A6,-0.35665918592877105,2.4868439822051105e-18,2.3402978189680236e-17
cg14070755,MLPH,-0.35141148438291175,8.306827072903197e-18,7.680171697228044e-17
cg15980539,ESR1,-0.3488587447772798,1.4815228398112285e-17,1.346142304449168e-16
cg24319902,SFRP1,-0.3483314798479358,1.6684878520639204e-17,1.4903272848096373e-16
cg05616858,ERBB2,-0.3425135440716419,6.101040535916683e-17,5.358747270713487e-16
cg02084046,CXXC5,-0.33941625767378597,1.2033272277453716e-16,1.0395958180685422e-15
cg03026462,FOXA1,-0.33800170021253334,1.6368380200586498e-16,1.3913123170498524e-15
cg00920970,ESR1,-0.33198115644846826,5.957687680944186e-16,4.983653028345374e-15
cg11251858,ESR1,-0.3295332511783608,9.99291418136774e-16,8.22854027122e-15
cg23032032,FOXA1,-0.3282016735567728,1.3213807434865341e-15,1.0713348489498516e-14
cg24967701,GRB7,-0.32231111360962167,4.473810225163804e-15,3.572269679789885e-14
cg16581884,PGR,-0.31965777607843193,7.682286360087993e-15,6.042634196666227e-14
cg13686012,PGR,-0.3162435658683074,1.528374081401737e-14,1.1844899130863462e-13
