model,feature,modality,gene,cpg,importance,rank
NN_integrated,METH: MAPT (cg16520312),METH,MAPT,cg16520312,0.009199782289781364,1
NN_integrated,METH: ESR1 (cg23165623),METH,ESR1,cg23165623,0.008854441564684365,2
NN_integrated,RNA: UBE2T,RNA,UBE2T,,0.008724044488613863,3
NN_integrated,METH: EGFR (cg05064645),METH,EGFR,cg05064645,0.008512943912638625,4
NN_integrated,METH: PHGDH (cg10827253),METH,PHGDH,cg10827253,0.008508684576349112,5
NN_integrated,METH: ESR1 (cg21614759),METH,ESR1,cg21614759,0.008499429874680676,6
NN_integrated,METH: FOXA1 (cg03026462),METH,FOXA1,cg03026462,0.008416364104235177,7
NN_integrated,RNA: KRT17,RNA,KRT17,,0.008349747251827695,8
NN_integrated,RNA: NUF2,RNA,NUF2,,0.008289525116885112,9
NN_integrated,METH: ESR1 (cg00655307),METH,ESR1,cg00655307,0.008288084863542424,10
NN_integrated,METH: SFRP1 (cg22418909),METH,SFRP1,cg22418909,0.008275892114688078,11
NN_integrated,METH: ESR1 (cg01321962),METH,ESR1,cg01321962,0.008193895235642188,12
NN_integrated,RNA: MIA,RNA,MIA,,0.00811892226295462,13
NN_integrated,METH: ESR1 (cg19411146),METH,ESR1,cg19411146,0.008097372760923515,14
NN_integrated,METH: MYBL2 (cg08290421),METH,MYBL2,cg08290421,0.008093551707385356,15
NN_integrated,METH: KRT5 (cg16167877),METH,KRT5,cg16167877,0.008070598129490911,16
NN_integrated,METH: TYMS (cg00134212),METH,TYMS,cg00134212,0.008065651876927255,17
NN_integrated,METH: FOXA1 (cg23032032),METH,FOXA1,cg23032032,0.008064405561105232,18
NN_integrated,METH: CDH3 (cg11843735),METH,CDH3,cg11843735,0.007984387503663582,19
NN_integrated,METH: GRB7 (cg11183072),METH,GRB7,cg11183072,0.007973455252680131,20
NN_integrated,METH: SFRP1 (cg07122178),METH,SFRP1,cg07122178,0.007970944132424704,21
NN_integrated,METH: ESR1 (cg15543523),METH,ESR1,cg15543523,0.007948559003085246,22
NN_integrated,METH: EGFR (cg22396409),METH,EGFR,cg22396409,0.007943561402978644,23
NN_integrated,RNA: CENPF,RNA,CENPF,,0.007926535895728205,24
NN_integrated,METH: ERBB2 (cg05616858),METH,ERBB2,cg05616858,0.007922225278384081,25
NN_integrated,METH: ESR1 (cg23467008),METH,ESR1,cg23467008,0.00791738806112223,26
NN_integrated,METH: FOXA1 (cg01824511),METH,FOXA1,cg01824511,0.007883114633508242,27
NN_integrated,METH: SFRP1 (cg04255616),METH,SFRP1,cg04255616,0.007859842923324818,28
